OBJECTID,Year,Value,sex
3451111,2017,1,0
3451111,2017,0,1
3451112,2017,1,0
3451112,2017,0,1
3451113,2017,1,0
3451113,2017,0,1
3451115,2017,2,0
3451115,2017,2,1
3451116,2017,1,0
3451116,2017,1,1
3451117,2017,1,0
3451117,2017,0,1
3451118,2017,2,0
3451118,2017,0,1
3451119,2017,2,0
3451119,2017,0,1
3451120,2017,1,0
3451120,2017,0,1
3451121,2017,1,0
3451121,2017,0,1
3451122,2017,1,0
3451122,2017,1,1
3451125,2017,2,0
3451125,2017,1,1
3451126,2017,0,0
3451126,2017,1,1
3451127,2017,1,0
3451127,2017,1,1
3451128,2017,0,0
3451128,2017,2,1
3451129,2017,0,0
3451129,2017,1,1
3451130,2017,1,0
3451130,2017,0,1
3451131,2017,2,0
3451131,2017,0,1
3451132,2017,0,0
3451132,2017,2,1
3451134,2017,1,0
3451134,2017,0,1
3451136,2017,2,0
3451136,2017,0,1
3451137,2017,1,0
3451137,2017,2,1
3451138,2017,2,0
3451138,2017,2,1
3451139,2017,1,0
3451139,2017,0,1
3451140,2017,1,0
3451140,2017,0,1
3451141,2017,1,0
3451141,2017,1,1
3451142,2017,1,0
3451142,2017,0,1
3451143,2017,2,0
3451143,2017,0,1
3451144,2017,1,0
3451144,2017,1,1
3451145,2017,0,0
3451145,2017,2,1
3451146,2017,1,0
3451146,2017,1,1
3451149,2017,0,0
3451149,2017,1,1
3451150,2017,1,0
3451150,2017,0,1
3451151,2017,1,0
3451151,2017,0,1
3451152,2017,1,0
3451152,2017,1,1
3451153,2017,1,0
3451153,2017,1,1
3451154,2017,1,0
3451154,2017,2,1
3451155,2017,1,0
3451155,2017,0,1
3451156,2017,0,0
3451156,2017,2,1
3451157,2017,1,0
3451157,2017,0,1
3451159,2017,1,0
3451159,2017,0,1
3451160,2017,1,0
3451160,2017,2,1
3451161,2017,3,0
3451161,2017,2,1
3451163,2017,1,0
3451163,2017,0,1
3451164,2017,1,0
3451164,2017,0,1
3451165,2017,2,0
3451165,2017,0,1
3451166,2017,2,0
3451166,2017,2,1
3451167,2017,0,0
3451167,2017,2,1
3451168,2017,2,0
3451168,2017,1,1
3451169,2017,3,0
3451169,2017,0,1
3451170,2017,1,0
3451170,2017,2,1
3451171,2017,2,0
3451171,2017,0,1
3451172,2017,1,0
3451172,2017,0,1
3451174,2017,1,0
3451174,2017,1,1
3451176,2017,2,0
3451176,2017,0,1
3451177,2017,1,0
3451177,2017,3,1
3451178,2017,2,0
3451178,2017,1,1
3451179,2017,1,0
3451179,2017,1,1
3451180,2017,1,0
3451180,2017,1,1
3451181,2017,1,0
3451181,2017,0,1
3451182,2017,2,0
3451182,2017,0,1
3451183,2017,1,0
3451183,2017,0,1
3451184,2017,1,0
3451184,2017,1,1
3451185,2017,2,0
3451185,2017,0,1
3451186,2017,1,0
3451186,2017,1,1
3451187,2017,1,0
3451187,2017,1,1
3451188,2017,2,0
3451188,2017,0,1
3451190,2017,2,0
3451190,2017,1,1
3451191,2017,0,0
3451191,2017,1,1
3451192,2017,1,0
3451192,2017,1,1
3451194,2017,1,0
3451194,2017,2,1
3451195,2017,2,0
3451195,2017,0,1
3451196,2017,1,0
3451196,2017,1,1
3451197,2017,1,0
3451197,2017,1,1
3451198,2017,0,0
3451198,2017,2,1
3451199,2017,1,0
3451199,2017,0,1
3451200,2017,2,0
3451200,2017,2,1
3451201,2017,2,0
3451201,2017,2,1
3451202,2017,1,0
3451202,2017,1,1
3451203,2017,1,0
3451203,2017,1,1
3451204,2017,0,0
3451204,2017,1,1
3451205,2017,1,0
3451205,2017,1,1
3451206,2017,2,0
3451206,2017,0,1
3451207,2017,0,0
3451207,2017,1,1
3451208,2017,3,0
3451208,2017,2,1
3451209,2017,0,0
3451209,2017,1,1
3451210,2017,1,0
3451210,2017,0,1
3451211,2017,1,0
3451211,2017,1,1
3451213,2017,2,0
3451213,2017,3,1
3451214,2017,2,0
3451214,2017,1,1
3451215,2017,2,0
3451215,2017,0,1
3451216,2017,1,0
3451216,2017,0,1
3451217,2017,1,0
3451217,2017,1,1
3451218,2017,1,0
3451218,2017,2,1
3451219,2017,1,0
3451219,2017,0,1
3451220,2017,2,0
3451220,2017,1,1
3451221,2017,1,0
3451221,2017,0,1
3451222,2017,0,0
3451222,2017,2,1
3451223,2017,1,0
3451223,2017,0,1
3451224,2017,2,0
3451224,2017,1,1
3451225,2017,0,0
3451225,2017,2,1
3451226,2017,1,0
3451226,2017,0,1
3451227,2017,1,0
3451227,2017,1,1
3451228,2017,1,0
3451228,2017,0,1
3451229,2017,1,0
3451229,2017,0,1
3451230,2017,2,0
3451230,2017,0,1
3451231,2017,1,0
3451231,2017,1,1
3451232,2017,1,0
3451232,2017,5,1
3451233,2017,2,0
3451233,2017,0,1
3451234,2017,2,0
3451234,2017,1,1
3451235,2017,2,0
3451235,2017,0,1
3451236,2017,2,0
3451236,2017,0,1
3451238,2017,1,0
3451238,2017,1,1
3451239,2017,0,0
3451239,2017,2,1
3451241,2017,0,0
3451241,2017,1,1
3451242,2017,1,0
3451242,2017,2,1
3451243,2017,2,0
3451243,2017,0,1
3451244,2017,1,0
3451244,2017,1,1
3451248,2017,1,0
3451248,2017,2,1
3451249,2017,1,0
3451249,2017,1,1
3451250,2017,1,0
3451250,2017,1,1
3451251,2017,2,0
3451251,2017,0,1
3451252,2017,1,0
3451252,2017,1,1
3451253,2017,2,0
3451253,2017,0,1
3451254,2017,0,0
3451254,2017,1,1
3451255,2017,1,0
